frame_idx,timestamp_us,phase
0,2458987145000,pre
1,2458990618000,pre
2,2458994092000,pre
3,2458997564000,pre
4,2459001038000,pre
5,2459004512000,pre
6,2459007988000,pre
7,2459011463000,pre
8,2459014933000,pre
9,2459018406000,pre
10,2459021880000,pre
11,2459025355000,pre
12,2459028831000,pre
13,2459032301000,pre
14,2459035774000,pre
15,2459039250000,post
16,2459042722000,post
17,2459046195000,post
18,2459049669000,post
19,2459053142000,post
20,2459056616000,post
21,2459060090000,post
22,2459063563000,post
23,2459067036000,post
24,2459070510000,post
25,2459073986000,post
26,2459077458000,post
27,2459080931000,post
28,2459084405000,post
29,2459087879000,post
30,2459091354000,post
31,2459094825000,post
32,2459098301000,post
33,2459101774000,post
34,2459105247000,post
35,2459112194000,post
36,2459115668000,post
37,2459119142000,post
38,2459126088000,post
39,2459129563000,post
40,2459136509000,post
41,2459139983000,post
42,2459143457000,post
43,2459146931000,post
44,2459153878000,post
