frame_idx,timestamp_us,phase
0,6220905068000,pre
1,6220908539000,pre
2,6220915487000,pre
3,6220918962000,pre
4,6220922433000,pre
5,6220925906000,pre
6,6220929379000,pre
7,6220932853000,pre
8,6220939800000,pre
9,6220943273000,pre
10,6220946748000,pre
11,6220953695000,pre
12,6220957167000,pre
13,6220960640000,pre
14,6220964114000,pre
15,6220971061000,post
16,6220974535000,post
17,6220978008000,post
18,6220984955000,post
19,6220988427000,post
20,6220991903000,post
21,6220995374000,post
22,6220998847000,post
23,6221005795000,post
24,6221009267000,post
25,6221012742000,post
26,6221019689000,post
27,6221023162000,post
28,6221026635000,post
29,6221030108000,post
30,6221037055000,post
31,6221040529000,post
32,6221044006000,post
33,6221047475000,post
34,6221050948000,post
35,6221054423000,post
36,6221057896000,post
37,6221061368000,post
38,6221064842000,post
39,6221068317000,post
40,6221071791000,post
41,6221075262000,post
42,6221078736000,post
43,6221082209000,post
44,6221085683000,post
45,6221599747000,post
46,6221603220000,post
47,6221606693000,post
48,6221610168000,post
49,6221613641000,post
50,6221617114000,post
51,6221620587000,post
52,6221624060000,post
53,6221627534000,post
54,6221631007000,post
55,6221634482000,post
56,6221637955000,post
57,6221641428000,post
58,6221644902000,post
59,6221648375000,post
60,6221651849000,post
61,6221655321000,post
62,6221658796000,post
63,6221662268000,post
64,6221665741000,post
