metric,value,unit
ball_speed,47.2,
launch_angle,12.0,
apex_height,3.1,
carry_distance,19.1,
frames_analyzed,65,
detections,13,
rest_x,263,
rest_y,285,
shot_id,shot_20260423_211654,
club_id,9iron,
