frame_idx,timestamp_us,phase
0,7706700045000,pre
1,7706703520000,pre
2,7706706992000,pre
3,7706710469000,pre
4,7706713940000,pre
5,7706717413000,pre
6,7706720887000,pre
7,7706724360000,pre
8,7706727834000,pre
9,7706731307000,pre
10,7706734781000,pre
11,7706738255000,pre
12,7706741728000,pre
13,7706745202000,pre
14,7706748676000,pre
15,7706752150000,post
16,7706755623000,post
17,7706759096000,post
18,7706762570000,post
19,7706766044000,post
20,7706769517000,post
21,7706772991000,post
22,7706776464000,post
23,7706779939000,post
24,7706783412000,post
25,7706786885000,post
26,7706790360000,post
27,7706793833000,post
28,7706797307000,post
29,7706800782000,post
30,7706804253000,post
31,7706807727000,post
32,7706811201000,post
33,7706814674000,post
34,7706818148000,post
35,7706821622000,post
36,7706825096000,post
37,7706828569000,post
38,7706832043000,post
39,7706835516000,post
40,7706838990000,post
41,7706842463000,post
42,7706845937000,post
43,7706849410000,post
44,7706852884000,post
