frame_idx,timestamp_us,phase
0,4571382325000,pre
1,4571385799000,pre
2,4571389274000,pre
3,4571392747000,pre
4,4571396220000,pre
5,4571399694000,pre
6,4571403167000,pre
7,4571406640000,pre
8,4571410115000,pre
9,4571413588000,pre
10,4571417061000,pre
11,4571420536000,pre
12,4571424013000,pre
13,4571427483000,pre
14,4571430955000,pre
15,4571434429000,post
16,4571437905000,post
17,4571441376000,post
18,4571448325000,post
19,4571451800000,post
20,4571455271000,post
21,4571458744000,post
22,4571462220000,post
23,4571465692000,post
24,4571469165000,post
25,4571472638000,post
26,4571476122000,post
27,4571479589000,post
28,4571483060000,post
29,4571486533000,post
30,4571493483000,post
31,4571496954000,post
32,4571500427000,post
33,4571503901000,post
34,4571507375000,post
35,4571510848000,post
36,4571514321000,post
37,4571517796000,post
38,4571521270000,post
39,4571524742000,post
40,4571528216000,post
41,4571531689000,post
42,4571535163000,post
43,4571538637000,post
44,4571542110000,post
