frame_idx,timestamp_us,phase
0,1949011418000,pre
1,1949014891000,pre
2,1949018364000,pre
3,1949021837000,pre
4,1949025312000,pre
5,1949032258000,pre
6,1949035733000,pre
7,1949039207000,pre
8,1949046156000,pre
9,1949053105000,pre
10,1949063522000,pre
11,1949066996000,pre
12,1949070469000,pre
13,1949073942000,pre
14,1949077418000,pre
15,1949091310000,post
16,1949094785000,post
17,1949098257000,post
18,1949101733000,post
19,1949105206000,post
20,1949112151000,post
21,1949115625000,post
22,1949119098000,post
23,1949122572000,post
24,1949126046000,post
25,1949132993000,post
26,1949136467000,post
27,1949139940000,post
28,1949143414000,post
29,1949146887000,post
30,1949150365000,post
31,1949153835000,post
32,1949157308000,post
33,1949160782000,post
34,1949164255000,post
35,1949167729000,post
36,1949171203000,post
37,1949174676000,post
38,1949178150000,post
39,1949181623000,post
40,1949185097000,post
41,1949188570000,post
42,1949192044000,post
43,1949195517000,post
44,1949198991000,post
