frame_idx,timestamp_us,phase
0,2062490483000,pre
1,2062493957000,pre
2,2062497431000,pre
3,2062500904000,pre
4,2062504378000,pre
5,2062511324000,pre
6,2062514798000,pre
7,2062518272000,pre
8,2062521745000,pre
9,2062525219000,pre
10,2062532166000,pre
11,2062535640000,pre
12,2062539114000,pre
13,2062542587000,pre
14,2062546061000,pre
15,2062556482000,post
16,2062559955000,post
17,2062563429000,post
18,2062566902000,post
19,2062570375000,post
20,2062580797000,post
21,2062584271000,post
22,2062587745000,post
23,2062591218000,post
24,2062594691000,post
25,2062601638000,post
26,2062605112000,post
27,2062608588000,post
28,2062612059000,post
29,2062615533000,post
30,2062619006000,post
31,2062622479000,post
32,2062625953000,post
33,2062629426000,post
34,2062632901000,post
35,2062636374000,post
36,2062639847000,post
37,2062643321000,post
38,2062646795000,post
39,2062650268000,post
40,2062653742000,post
41,2062657215000,post
42,2062660689000,post
43,2062664162000,post
44,2062667636000,post
