frame_idx,timestamp_us,phase
0,1931198792000,pre
1,1931202265000,pre
2,1931205739000,pre
3,1931209212000,pre
4,1931212686000,pre
5,1931216160000,pre
6,1931219633000,pre
7,1931223107000,pre
8,1931226580000,pre
9,1931230054000,pre
10,1931233528000,pre
11,1931237001000,pre
12,1931240475000,pre
13,1931243948000,pre
14,1931247422000,pre
15,1931250896000,post
16,1931254369000,post
17,1931257843000,post
18,1931261316000,post
19,1931264790000,post
20,1931268264000,post
21,1931271737000,post
22,1931275211000,post
23,1931278685000,post
24,1931282158000,post
25,1931285632000,post
26,1931289105000,post
27,1931292579000,post
28,1931296052000,post
29,1931299526000,post
30,1931306476000,post
31,1931309947000,post
32,1931313421000,post
33,1931316894000,post
34,1931320368000,post
35,1931323842000,post
36,1931327315000,post
37,1931330789000,post
38,1931334263000,post
39,1931337736000,post
40,1931341210000,post
41,1931344683000,post
42,1931348166000,post
43,1931351631000,post
44,1931355104000,post
