frame_idx,timestamp_us,phase
0,2037178365000,pre
1,2037181838000,pre
2,2037185312000,pre
3,2037188785000,pre
4,2037195735000,pre
5,2037202680000,pre
6,2037206153000,pre
7,2037209626000,pre
8,2037213100000,pre
9,2037216574000,pre
10,2037223521000,pre
11,2037226995000,pre
12,2037230469000,pre
13,2037233943000,pre
14,2037237416000,pre
15,2037244363000,post
16,2037247836000,post
17,2037251312000,post
18,2037254785000,post
19,2037258258000,post
20,2037265205000,post
21,2037268679000,post
22,2037272152000,post
23,2037275625000,post
24,2037279098000,post
25,2037286047000,post
26,2037289521000,post
27,2037292993000,post
28,2037296466000,post
29,2037299940000,post
30,2037303415000,post
31,2037306888000,post
32,2037310361000,post
33,2037313835000,post
34,2037317309000,post
35,2037320783000,post
36,2037324257000,post
37,2037327730000,post
38,2037331204000,post
39,2037334677000,post
40,2037338150000,post
41,2037341623000,post
42,2037345097000,post
43,2037348571000,post
44,2037352045000,post
