metric,value,unit
ball_speed,34.7,
launch_angle,7.1,
apex_height,0.6,
carry_distance,6.5,
frames_analyzed,65,
detections,12,
rest_x,275,
rest_y,283,
shot_id,shot_20260423_211619,
club_id,9iron,
