frame_idx,timestamp_us,phase
0,6186039081000,pre
1,6186042555000,pre
2,6186046028000,pre
3,6186049502000,pre
4,6186052975000,pre
5,6186056448000,pre
6,6186059921000,pre
7,6186063397000,pre
8,6186066869000,pre
9,6186070342000,pre
10,6186073816000,pre
11,6186077289000,pre
12,6186080762000,pre
13,6186084236000,pre
14,6186087708000,pre
15,6186091182000,post
16,6186094658000,post
17,6186098129000,post
18,6186101603000,post
19,6186105077000,post
20,6186108549000,post
21,6186112023000,post
22,6186115497000,post
23,6186118969000,post
24,6186122443000,post
25,6186125917000,post
26,6186129389000,post
27,6186132863000,post
28,6186136336000,post
29,6186139810000,post
30,6186143284000,post
31,6186146757000,post
32,6186150229000,post
33,6186153703000,post
34,6186157176000,post
35,6186160650000,post
36,6186164123000,post
37,6186167596000,post
38,6186171072000,post
39,6186174544000,post
40,6186178017000,post
41,6186181490000,post
42,6186184963000,post
43,6186188438000,post
44,6186191910000,post
45,6186709447000,post
46,6186712920000,post
47,6186716401000,post
48,6186719868000,post
49,6186723341000,post
50,6186726813000,post
51,6186730286000,post
52,6186733760000,post
53,6186737233000,post
54,6186740708000,post
55,6186744179000,post
56,6186747653000,post
57,6186751128000,post
58,6186754600000,post
59,6186758073000,post
60,6186761547000,post
61,6186765021000,post
62,6186768494000,post
63,6186771968000,post
64,6186775440000,post
