metric,value,unit
ball_speed,34.4,
launch_angle,29.7,
apex_height,9.3,
carry_distance,21.2,
frames_analyzed,65,
detections,34,
rest_x,254,
rest_y,282,
shot_id,shot_20260423_211807,
club_id,9iron,
