frame_idx,timestamp_us,phase
0,4882299008000,pre
1,4882302480000,pre
2,4882305952000,pre
3,4882309431000,pre
4,4882312899000,pre
5,4882316376000,pre
6,4882319847000,pre
7,4882323320000,pre
8,4882326794000,pre
9,4882330268000,pre
10,4882333744000,pre
11,4882337216000,pre
12,4882340689000,pre
13,4882344163000,pre
14,4882347635000,pre
15,4882351111000,post
16,4882354583000,post
17,4882358056000,post
18,4882361531000,post
19,4882365004000,post
20,4882368478000,post
21,4882371953000,post
22,4882375425000,post
23,4882382373000,post
24,4882385847000,post
25,4882389322000,post
26,4882392793000,post
27,4882396268000,post
28,4882399741000,post
29,4882403213000,post
30,4882406688000,post
31,4882410161000,post
32,4882413634000,post
33,4882417114000,post
34,4882420583000,post
35,4882424055000,post
36,4882427529000,post
37,4882431002000,post
38,4882434477000,post
39,4882437950000,post
40,4882441423000,post
41,4882444897000,post
42,4882448372000,post
43,4882451846000,post
44,4882455317000,post
