metric,value,unit
ball_speed,151.9,
launch_angle,64.7,
apex_height,336.7,
carry_distance,154.6,
frames_analyzed,65,
detections,4,
rest_x,235,
rest_y,285,
shot_id,shot_20260423_211823,
club_id,9iron,
