frame_idx,timestamp_us,phase
0,5048733220000,pre
1,5048736694000,pre
2,5048740168000,pre
3,5048743671000,pre
4,5048747115000,pre
5,5048750588000,pre
6,5048754062000,pre
7,5048757535000,pre
8,5048761009000,pre
9,5048764485000,pre
10,5048767956000,pre
11,5048771430000,pre
12,5048774905000,pre
13,5048778377000,pre
14,5048781851000,pre
15,5048785326000,post
16,5048788797000,post
17,5048792271000,post
18,5048795745000,post
19,5048799218000,post
20,5048802693000,post
21,5048806166000,post
22,5048809639000,post
23,5048813114000,post
24,5048816587000,post
25,5048820060000,post
26,5048823533000,post
27,5048827007000,post
28,5048833962000,post
29,5048837430000,post
30,5048840902000,post
31,5048844377000,post
32,5048847850000,post
33,5048851325000,post
34,5048854796000,post
35,5048858273000,post
36,5048861743000,post
37,5048865218000,post
38,5048868692000,post
39,5048872164000,post
40,5048875638000,post
41,5048879112000,post
42,5048882586000,post
43,5048886059000,post
44,5048889532000,post
