frame_idx,timestamp_us,phase
0,7560228496000,pre
1,7560231971000,pre
2,7560235445000,pre
3,7560238920000,pre
4,7560242396000,pre
5,7560245865000,pre
6,7560249339000,pre
7,7560252813000,pre
8,7560256285000,pre
9,7560259761000,pre
10,7560263232000,pre
11,7560270180000,pre
12,7560273653000,pre
13,7560280604000,pre
14,7560284079000,pre
15,7560287550000,post
16,7560291021000,post
17,7560294494000,post
18,7560297970000,post
19,7560301443000,post
20,7560308390000,post
21,7560311864000,post
22,7560315348000,post
23,7560318810000,post
24,7560322283000,post
25,7560329231000,post
26,7560332705000,post
27,7560336179000,post
28,7560343126000,post
29,7560346598000,post
30,7560350073000,post
31,7560353547000,post
32,7560360494000,post
33,7560363967000,post
34,7560367440000,post
35,7560374389000,post
36,7560377865000,post
37,7560381335000,post
38,7560384808000,post
39,7560388282000,post
40,7560391756000,post
41,7560395229000,post
42,7560402178000,post
43,7560405653000,post
44,7560409123000,post
