metric,value,unit
error,Could not detect ball at rest,
frames_captured,45,
club_id,5iron,
shot_id,acb99259-117b-4c41-aba7-e07321571778,
output_dir,/home/bottompi/Golf-Launch-Monitor/Captures/camera_captures/acb99259-117b-4c41-aba7-e07321571778_20260325_161552,
