metric,value,unit
error,Could not detect ball at rest,
frames_captured,45,
club_id,7iron,
shot_id,d852fe72-0539-46f0-8ed6-b424a7a811e1,
output_dir,/home/bottompi/Golf-Launch-Monitor/Captures/camera_captures/d852fe72-0539-46f0-8ed6-b424a7a811e1_20260320_200744,
