frame_idx,timestamp_us,phase
0,7708686948000,pre
1,7708690427000,pre
2,7708693895000,pre
3,7708697370000,pre
4,7708700850000,pre
5,7708704320000,pre
6,7708707791000,pre
7,7708711263000,pre
8,7708714737000,pre
9,7708718211000,pre
10,7708721684000,pre
11,7708725159000,pre
12,7708728632000,pre
13,7708732106000,pre
14,7708735579000,pre
15,7708742531000,post
16,7708746005000,post
17,7708752951000,post
18,7708756420000,post
19,7708759894000,post
20,7708763367000,post
21,7708766841000,post
22,7708770315000,post
23,7708777262000,post
24,7708784212000,post
25,7708787683000,post
26,7708791157000,post
27,7708794630000,post
28,7708798103000,post
29,7708805051000,post
30,7708808525000,post
31,7708811998000,post
32,7708815472000,post
33,7708818945000,post
34,7708825896000,post
35,7708829369000,post
36,7708832840000,post
37,7708836313000,post
38,7708843261000,post
39,7708846734000,post
40,7708853681000,post
41,7708857155000,post
42,7708860630000,post
43,7708864103000,post
44,7708867576000,post
