frame_idx,timestamp_us,phase
0,2275302732000,pre
1,2275306207000,pre
2,2275309682000,pre
3,2275313155000,pre
4,2275316627000,pre
5,2275320100000,pre
6,2275323575000,pre
7,2275327047000,pre
8,2275330521000,pre
9,2275333994000,pre
10,2275337468000,pre
11,2275340943000,pre
12,2275344415000,pre
13,2275347889000,pre
14,2275351362000,pre
15,2275354836000,post
16,2275358309000,post
17,2275361783000,post
18,2275365257000,post
19,2275368730000,post
20,2275372204000,post
21,2275375677000,post
22,2275379151000,post
23,2275382625000,post
24,2275386098000,post
25,2275389572000,post
26,2275393047000,post
27,2275396519000,post
28,2275399994000,post
29,2275403466000,post
30,2275406940000,post
31,2275410416000,post
32,2275413887000,post
33,2275417362000,post
34,2275420836000,post
35,2275424309000,post
36,2275427781000,post
37,2275431258000,post
38,2275434729000,post
39,2275438202000,post
40,2275441676000,post
41,2275445150000,post
42,2275448623000,post
43,2275452096000,post
44,2275455571000,post
