frame_idx,timestamp_us,phase
0,4548067556000,pre
1,4548071027000,pre
2,4548074499000,pre
3,4548077975000,pre
4,4548081449000,pre
5,4548084921000,pre
6,4548088395000,pre
7,4548091868000,pre
8,4548095344000,pre
9,4548098815000,pre
10,4548102290000,pre
11,4548105762000,pre
12,4548109236000,pre
13,4548112710000,pre
14,4548116183000,pre
15,4548119656000,post
16,4548123129000,post
17,4548126603000,post
18,4548130077000,post
19,4548133551000,post
20,4548137024000,post
21,4548140500000,post
22,4548143971000,post
23,4548147445000,post
24,4548150918000,post
25,4548154392000,post
26,4548157865000,post
27,4548161361000,post
28,4548164813000,post
29,4548168290000,post
30,4548171770000,post
31,4548175234000,post
32,4548178707000,post
33,4548182181000,post
34,4548189129000,post
35,4548192602000,post
36,4548196078000,post
37,4548199549000,post
38,4548203023000,post
39,4548206498000,post
40,4548209970000,post
41,4548213443000,post
42,4548216918000,post
43,4548220391000,post
44,4548223864000,post
