frame_idx,timestamp_us,phase
0,7028275258000,pre
1,7028278732000,pre
2,7028282206000,pre
3,7028285679000,pre
4,7028289153000,pre
5,7028292626000,pre
6,7028296100000,pre
7,7028299573000,pre
8,7028303048000,pre
9,7028306521000,pre
10,7028309995000,pre
11,7028313468000,pre
12,7028316942000,pre
13,7028320415000,pre
14,7028323889000,pre
15,7028327364000,post
16,7028330836000,post
17,7028334310000,post
18,7028337784000,post
19,7028341259000,post
20,7028344733000,post
21,7028348205000,post
22,7028351678000,post
23,7028355152000,post
24,7028358626000,post
25,7028362103000,post
26,7028365572000,post
27,7028369047000,post
28,7028372520000,post
29,7028375993000,post
30,7028379467000,post
31,7028382941000,post
32,7028386415000,post
33,7028389887000,post
34,7028393368000,post
35,7028396836000,post
36,7028400309000,post
37,7028403785000,post
38,7028407257000,post
39,7028410730000,post
40,7028414204000,post
41,7028417677000,post
42,7028421154000,post
43,7028424625000,post
44,7028428098000,post
