metric,value,unit
frames_analyzed,65,
detections,18,
rest_x,289,
rest_y,282,
ball_speed,19.5,
launch_angle,10.1,
apex_height,0.4,
carry_distance,2.9,
shot_id,shot_20260424_141126,
club_id,9iron,
