frame_idx,timestamp_us,phase
0,4875956209000,pre
1,4875959681000,pre
2,4875963156000,pre
3,4875966629000,pre
4,4875970103000,pre
5,4875973576000,pre
6,4875977049000,pre
7,4875980523000,pre
8,4875983997000,pre
9,4875987472000,pre
10,4875990944000,pre
11,4875994417000,pre
12,4875997891000,pre
13,4876001364000,pre
14,4876004838000,pre
15,4876008312000,post
16,4876011786000,post
17,4876015259000,post
18,4876018733000,post
19,4876022208000,post
20,4876025680000,post
21,4876029154000,post
22,4876032627000,post
23,4876036101000,post
24,4876039576000,post
25,4876043048000,post
26,4876046532000,post
27,4876049995000,post
28,4876053469000,post
29,4876056943000,post
30,4876060416000,post
31,4876063890000,post
32,4876067363000,post
33,4876070837000,post
34,4876074311000,post
35,4876077784000,post
36,4876081257000,post
37,4876084731000,post
38,4876088205000,post
39,4876091678000,post
40,4876095152000,post
41,4876098625000,post
42,4876102100000,post
43,4876105574000,post
44,4876109046000,post
