metric,value,unit
frames_analyzed,65,
detections,10,
rest_x,222,
rest_y,291,
ball_speed,34.9,
launch_angle,9.7,
apex_height,1.1,
carry_distance,8.7,
shot_id,shot_20260424_140702,
club_id,9iron,
