frame_idx,timestamp_us,phase
0,7523352698000,pre
1,7523356177000,pre
2,7523363122000,pre
3,7523370068000,pre
4,7523373540000,pre
5,7523377014000,pre
6,7523380488000,pre
7,7523387437000,pre
8,7523390908000,pre
9,7523397856000,pre
10,7523401329000,pre
11,7523404802000,pre
12,7523408279000,pre
13,7523411750000,pre
14,7523415226000,pre
15,7523418698000,post
16,7523422172000,post
17,7523429120000,post
18,7523432594000,post
19,7523436065000,post
20,7523439538000,post
21,7523443014000,post
22,7523449960000,post
23,7523453433000,post
24,7523456907000,post
25,7523460380000,post
26,7523467330000,post
27,7523470801000,post
28,7523474274000,post
29,7523477751000,post
30,7523484696000,post
31,7523488169000,post
32,7523491645000,post
33,7523495120000,post
34,7523498593000,post
35,7523505539000,post
36,7523509012000,post
37,7523512488000,post
38,7523515959000,post
39,7523519433000,post
40,7523522906000,post
41,7523526380000,post
42,7523529853000,post
43,7523533326000,post
44,7523536807000,post
