frame_idx,timestamp_us,phase
0,6442861658000,pre
1,6442865131000,pre
2,6442868606000,pre
3,6442872079000,pre
4,6442875552000,pre
5,6442879029000,pre
6,6442882500000,pre
7,6442885973000,pre
8,6442889447000,pre
9,6442892920000,pre
10,6442896394000,pre
11,6442899867000,pre
12,6442903345000,pre
13,6442906815000,pre
14,6442910289000,pre
15,6442913762000,post
16,6442917235000,post
17,6442920709000,post
18,6442924183000,post
19,6442927656000,post
20,6442931130000,post
21,6442934603000,post
22,6442938077000,post
23,6442941551000,post
24,6442945025000,post
25,6442948498000,post
26,6442951973000,post
27,6442955445000,post
28,6442958919000,post
29,6442962393000,post
30,6442965866000,post
31,6442969339000,post
32,6442972812000,post
33,6442976289000,post
34,6442979761000,post
35,6442983236000,post
36,6442986709000,post
37,6442990186000,post
38,6442993655000,post
39,6442997131000,post
40,6443000602000,post
41,6443004075000,post
42,6443007549000,post
43,6443011022000,post
44,6443014495000,post
