frame_idx,timestamp_us,phase
0,4949777213000,pre
1,4949780679000,pre
2,4949784153000,pre
3,4949787626000,pre
4,4949791102000,pre
5,4949794582000,pre
6,4949798049000,pre
7,4949801523000,pre
8,4949804996000,pre
9,4949808468000,pre
10,4949811942000,pre
11,4949815415000,pre
12,4949818889000,pre
13,4949822362000,pre
14,4949825836000,pre
15,4949829309000,post
16,4949832783000,post
17,4949836256000,post
18,4949839730000,post
19,4949843204000,post
20,4949846677000,post
21,4949850152000,post
22,4949853625000,post
23,4949857098000,post
24,4949860572000,post
25,4949864045000,post
26,4949867519000,post
27,4949870994000,post
28,4949874468000,post
29,4949881414000,post
30,4949884887000,post
31,4949888361000,post
32,4949891836000,post
33,4949895311000,post
34,4949898783000,post
35,4949902255000,post
36,4949905729000,post
37,4949909202000,post
38,4949912676000,post
39,4949916150000,post
40,4949919624000,post
41,4949923097000,post
42,4949926570000,post
43,4949930044000,post
44,4949933518000,post
