frame_idx,timestamp_us,phase
0,7597027876000,pre
1,7597031350000,pre
2,7597034823000,pre
3,7597038297000,pre
4,7597041771000,pre
5,7597045244000,pre
6,7597048718000,pre
7,7597052191000,pre
8,7597055665000,pre
9,7597059139000,pre
10,7597062612000,pre
11,7597066086000,pre
12,7597069560000,pre
13,7597073033000,pre
14,7597076507000,pre
15,7597079980000,post
16,7597083454000,post
17,7597086928000,post
18,7597090401000,post
19,7597093875000,post
20,7597097348000,post
21,7597100822000,post
22,7597104296000,post
23,7597107769000,post
24,7597111243000,post
25,7597114716000,post
26,7597118190000,post
27,7597121664000,post
28,7597125137000,post
29,7597128611000,post
30,7597132085000,post
31,7597135558000,post
32,7597139032000,post
33,7597142505000,post
34,7597145979000,post
35,7597149453000,post
36,7597152927000,post
37,7597156400000,post
38,7597159874000,post
39,7597163348000,post
40,7597166822000,post
41,7597170294000,post
42,7597173768000,post
43,7597177244000,post
44,7597180716000,post
