frame_idx,timestamp_us,phase
0,7245026162000,pre
1,7245029635000,pre
2,7245033109000,pre
3,7245036583000,pre
4,7245040056000,pre
5,7245043530000,pre
6,7245047004000,pre
7,7245050478000,pre
8,7245053951000,pre
9,7245057424000,pre
10,7245060899000,pre
11,7245064371000,pre
12,7245067845000,pre
13,7245071321000,pre
14,7245074793000,pre
15,7245078271000,post
16,7245081740000,post
17,7245085214000,post
18,7245088687000,post
19,7245092160000,post
20,7245095633000,post
21,7245099107000,post
22,7245102581000,post
23,7245106055000,post
24,7245109530000,post
25,7245113002000,post
26,7245116480000,post
27,7245119949000,post
28,7245123423000,post
29,7245126896000,post
30,7245130370000,post
31,7245133851000,post
32,7245137317000,post
33,7245140791000,post
34,7245144264000,post
35,7245147738000,post
36,7245151211000,post
37,7245154685000,post
38,7245158158000,post
39,7245161632000,post
40,7245165106000,post
41,7245168580000,post
42,7245172053000,post
43,7245175527000,post
44,7245179000000,post
