frame_idx,timestamp_us,phase
0,7599000886000,pre
1,7599004359000,pre
2,7599007833000,pre
3,7599014780000,pre
4,7599018253000,pre
5,7599021730000,pre
6,7599025207000,pre
7,7599032150000,pre
8,7599035623000,pre
9,7599039096000,pre
10,7599042572000,pre
11,7599046044000,pre
12,7599049519000,pre
13,7599056468000,pre
14,7599059937000,pre
15,7599066884000,post
16,7599070358000,post
17,7599073830000,post
18,7599077305000,post
19,7599080778000,post
20,7599087727000,post
21,7599091200000,post
22,7599094672000,post
23,7599098147000,post
24,7599105094000,post
25,7599112041000,post
26,7599118988000,post
27,7599125940000,post
28,7599136356000,post
29,7599139838000,post
30,7599143304000,post
31,7599146780000,post
32,7599150250000,post
33,7599157198000,post
34,7599160672000,post
35,7599164147000,post
36,7599171093000,post
37,7599174565000,post
38,7599178039000,post
39,7599181513000,post
40,7599184987000,post
41,7599191934000,post
42,7599195407000,post
43,7599202360000,post
44,7599205830000,post
