frame_idx,timestamp_us,phase
0,7058328879000,pre
1,7058332353000,pre
2,7058339301000,pre
3,7058342774000,pre
4,7058349721000,pre
5,7058353196000,pre
6,7058356669000,pre
7,7058363617000,pre
8,7058367089000,pre
9,7058370565000,pre
10,7058374036000,pre
11,7058380985000,pre
12,7058384457000,pre
13,7058391404000,pre
14,7058394878000,pre
15,7058398351000,post
16,7058401825000,post
17,7058405299000,post
18,7058408772000,post
19,7058412246000,post
20,7058415721000,post
21,7058419193000,post
22,7058422671000,post
23,7058426140000,post
24,7058429614000,post
25,7058436563000,post
26,7058440038000,post
27,7058443508000,post
28,7058446982000,post
29,7058450463000,post
30,7058453930000,post
31,7058457404000,post
32,7058460876000,post
33,7058467824000,post
34,7058471298000,post
35,7058474771000,post
36,7058481718000,post
37,7058485191000,post
38,7058488665000,post
39,7058492142000,post
40,7058495612000,post
41,7058499085000,post
42,7058502559000,post
43,7058506032000,post
44,7058509506000,post
