frame_idx,timestamp_us,phase
0,7269713072000,pre
1,7269716543000,pre
2,7269720029000,pre
3,7269723494000,pre
4,7269726963000,pre
5,7269730439000,pre
6,7269733912000,pre
7,7269737392000,pre
8,7269740857000,pre
9,7269744337000,pre
10,7269747805000,pre
11,7269751278000,pre
12,7269754752000,pre
13,7269758225000,pre
14,7269761699000,pre
15,7269765172000,post
16,7269768646000,post
17,7269772120000,post
18,7269775594000,post
19,7269779068000,post
20,7269782541000,post
21,7269786015000,post
22,7269789488000,post
23,7269792962000,post
24,7269796435000,post
25,7269799909000,post
26,7269803383000,post
27,7269806857000,post
28,7269810330000,post
29,7269813805000,post
30,7269817278000,post
31,7269820751000,post
32,7269824224000,post
33,7269827697000,post
34,7269831171000,post
35,7269834645000,post
36,7269838118000,post
37,7269841593000,post
38,7269845067000,post
39,7269848539000,post
40,7269852023000,post
41,7269855486000,post
42,7269858961000,post
43,7269862434000,post
44,7269865907000,post
