metric,value,unit
ball_speed,54.9,
launch_angle,63.1,
apex_height,70.4,
carry_distance,43.9,
frames_analyzed,65,
detections,6,
rest_x,228,
rest_y,283,
shot_id,shot_20260423_212214,
club_id,9iron,
