frame_idx,timestamp_us,phase
0,884496182000,pre
1,884499655000,pre
2,884503132000,pre
3,884510077000,pre
4,884513551000,pre
5,884520500000,pre
6,884523974000,pre
7,884527447000,pre
8,884530920000,pre
9,884534394000,pre
10,884537870000,pre
11,884544816000,pre
12,884548290000,pre
13,884551764000,pre
14,884558713000,pre
15,884562185000,post
16,884565659000,post
17,884569133000,post
18,884576082000,post
19,884579554000,post
20,884583028000,post
21,884589977000,post
22,884593450000,post
23,884596923000,post
24,884600397000,post
25,884607345000,post
26,884614294000,post
27,884617768000,post
28,884621241000,post
29,884624714000,post
30,884628188000,post
31,884631663000,post
32,884638610000,post
33,884642083000,post
34,884649033000,post
35,884652506000,post
36,884655979000,post
37,884659454000,post
38,884662926000,post
39,884669876000,post
40,884673348000,post
41,884676822000,post
42,884680296000,post
43,884683770000,post
44,884690720000,post
45,885204846000,post
46,885208320000,post
47,885211794000,post
48,885215268000,post
49,885218743000,post
50,885222215000,post
51,885225689000,post
52,885229163000,post
53,885232637000,post
54,885236111000,post
55,885239584000,post
56,885243058000,post
57,885246533000,post
58,885250006000,post
59,885253480000,post
60,885256955000,post
61,885260427000,post
62,885263901000,post
63,885267375000,post
64,885270850000,post
