metric,value,unit
frames_analyzed,65,
detections,13,
rest_x,230,
rest_y,303,
ball_speed,36.4,
launch_angle,24.0,
apex_height,7.1,
carry_distance,20.6,
shot_id,shot_20260424_140721,
club_id,9iron,
