metric,value,unit
error,Could not detect ball at rest,
frames_captured,45,
club_id,5iron,
shot_id,604868e4-17ed-44ce-b15f-317c46238d8b,
output_dir,/home/bottompi/Golf-Launch-Monitor/Captures/camera_captures/604868e4-17ed-44ce-b15f-317c46238d8b_20260325_161545,
